Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,32%,55%,13%
Alabama,24%,67%,9%
South Carolina,26%,64%,10%
Pennsylvania,33%,51%,16%
Tennessee,26%,61%,13%
Georgia,29%,55%,16%
Virginia,30%,53%,17%
West Virginia,21%,67%,12%
Maryland,34%,46%,20%
Kentucky,21%,67%,12%
Ohio,23%,62%,15%
Delaware,31%,50%,19%
Florida,28%,53%,19%
Mississippi,17%,72%,11%
Indiana,18%,67%,15%
Illinois,24%,56%,20%
New Jersey,29%,47%,24%
Oregon,21%,62%,17%
Idaho,16%,70%,14%
New Hampshire,23%,57%,20%
Michigan,18%,68%,14%
Utah,18%,67%,15%
District of Columbia,27%,41%,32%
Arizona,17%,64%,19%
Washington,20%,61%,19%
California,22%,56%,22%
Louisiana,15%,74%,11%
Missouri,15%,72%,13%
Connecticut,25%,54%,21%
Massachusetts,25%,48%,27%
New York,24%,50%,26%
Texas,19%,65%,16%
Nevada,19%,65%,16%
Arkansas,14%,74%,12%
Colorado,17%,67%,16%
Rhode Island,23%,53%,24%
Montana,13%,74%,13%
Vermont,19%,63%,18%
Alaska,16%,65%,19%
Maine,15%,69%,16%
Wyoming,12%,77%,11%
Oklahoma,11%,78%,11%
Nebraska,11%,77%,12%
Hawaii,14%,69%,17%
Kansas,10%,79%,11%
New Mexico,15%,68%,17%
Iowa,12%,76%,12%
Wisconsin,12%,75%,13%
South Dakota,9%,79%,12%
North Dakota,10%,78%,12%
Minnesota,11%,74%,15%
